dayOfWeek1.period1Max,dayOfWeek1.period1Min,dayOfWeek1.period1Target,dayOfWeek1.period2Max,dayOfWeek1.period2Min,dayOfWeek1.period2Target,dayOfWeek1.period3Max,dayOfWeek1.period3Min,dayOfWeek1.period3Target,dayOfWeek1.period4Max,dayOfWeek1.period4Min,dayOfWeek1.period4Target,dayOfWeek1.period5max,dayOfWeek1.period5min,dayOfWeek1.period5target,dayOfWeek1.sector,dayOfWeek1.sector.id,dayOfWeek2.period1Max,dayOfWeek2.period1Min,dayOfWeek2.period1Target,dayOfWeek2.period2Max,dayOfWeek2.period2Min,dayOfWeek2.period2Target,dayOfWeek2.period3Max,dayOfWeek2.period3Min,dayOfWeek2.period3Target,dayOfWeek2.period4Max,dayOfWeek2.period4Min,dayOfWeek2.period4Target,dayOfWeek2.period5max,dayOfWeek2.period5min,dayOfWeek2.period5target,dayOfWeek2.sector,dayOfWeek2.sector.id,dayOfWeek3.period1Max,dayOfWeek3.period1Min,dayOfWeek3.period1Target,dayOfWeek3.period2Max,dayOfWeek3.period2Min,dayOfWeek3.period2Target,dayOfWeek3.period3Max,dayOfWeek3.period3Min,dayOfWeek3.period3Target,dayOfWeek3.period4Max,dayOfWeek3.period4Min,dayOfWeek3.period4Target,dayOfWeek3.period5max,dayOfWeek3.period5min,dayOfWeek3.period5target,dayOfWeek3.sector,dayOfWeek3.sector.id,dayOfWeek4.period1Max,dayOfWeek4.period1Min,dayOfWeek4.period1Target,dayOfWeek4.period2Max,dayOfWeek4.period2Min,dayOfWeek4.period2Target,dayOfWeek4.period3Max,dayOfWeek4.period3Min,dayOfWeek4.period3Target,dayOfWeek4.period4Max,dayOfWeek4.period4Min,dayOfWeek4.period4Target,dayOfWeek4.period5max,dayOfWeek4.period5min,dayOfWeek4.period5target,dayOfWeek4.sector,dayOfWeek4.sector.id,dayOfWeek5.period1Max,dayOfWeek5.period1Min,dayOfWeek5.period1Target,dayOfWeek5.period2Max,dayOfWeek5.period2Min,dayOfWeek5.period2Target,dayOfWeek5.period3Max,dayOfWeek5.period3Min,dayOfWeek5.period3Target,dayOfWeek5.period4Max,dayOfWeek5.period4Min,dayOfWeek5.period4Target,dayOfWeek5.period5max,dayOfWeek5.period5min,dayOfWeek5.period5target,dayOfWeek5.sector,dayOfWeek5.sector.id,dayOfWeek6.period1Max,dayOfWeek6.period1Min,dayOfWeek6.period1Target,dayOfWeek6.period2Max,dayOfWeek6.period2Min,dayOfWeek6.period2Target,dayOfWeek6.period3Max,dayOfWeek6.period3Min,dayOfWeek6.period3Target,dayOfWeek6.period4Max,dayOfWeek6.period4Min,dayOfWeek6.period4Target,dayOfWeek6.period5max,dayOfWeek6.period5min,dayOfWeek6.period5target,dayOfWeek6.sector,dayOfWeek6.sector.id,dayOfWeek7.period1Max,dayOfWeek7.period1Min,dayOfWeek7.period1Target,dayOfWeek7.period2Max,dayOfWeek7.period2Min,dayOfWeek7.period2Target,dayOfWeek7.period3Max,dayOfWeek7.period3Min,dayOfWeek7.period3Target,dayOfWeek7.period4Max,dayOfWeek7.period4Min,dayOfWeek7.period4Target,dayOfWeek7.period5max,dayOfWeek7.period5min,dayOfWeek7.period5target,dayOfWeek7.sector,dayOfWeek7.sector.id,id,info.capacity,info.cluster,info.eightd_has_available_keys,info.eightd_has_key_dispenser,info.index,info.installDate,info.installed,info.is_installed,info.is_renting,info.is_returning,info.last_reported,info.locked,info.num_bikes_available,info.num_bikes_disabled,info.num_docks_available,info.num_docks_disabled,info.priority,info.removalDate,info.rental_methods,info.secteur_lavage,info.secteur_redist,info.status,info.temporary,info.terminalName,label,threshold.maxMet,threshold.maxMetQty,threshold.minMet,threshold.minMetQty
70,20,50,70,20,50,75,20,50,75,20,60,80,20,70,,,95,-10,50,95,-10,50,70,0,3,70,-10,55,80,30,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,20,50,,,90,20,50,90,10,50,90,25,50,90,10,50,90,35,55,,,128.0,15,"50,30,55,75",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,0,1,14,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6134,Bercy / Rachel,,,2019-06-04T12:10:51-04,0
110,40,85,110,50,90,110,50,95,110,50,90,111,55,90,,,110,75,95,110,55,90,110,55,90,110,45,90,110,50,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,55,85,,,110,55,90,110,45,90,110,50,85,110,50,85,100,55,95,,,130.0,19,"95,95,90,85",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,18,0,1,0,0,,"KEY,CREDITCARD",C9,Plateau Ouest,ok,,6136,Métro Laurier (Rivard / Laurier),,,,
80,45,70,80,45,70,70,20,55,90,45,75,90,55,75,,,110,75,95,110,25,35,70,0,10,60,0,40,80,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,35,0,,,100,45,85,100,45,85,90,35,65,90,40,65,90,45,60,,,131.0,19,"75,50,45,70",false,false,,,true,false,true,true,1970-01-18T20:14:20-05,false,0,0,19,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6137,Cartier/ Gauthier,,,2019-06-04T11:10:54-04,0
100,40,60,100,40,60,90,30,55,90,20,60,80,40,55,,,100,75,90,100,25,45,80,5,10,80,20,60,90,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,90,40,60,90,40,60,80,20,60,80,40,65,90,45,70,,,132.0,15,"70,50,55,55",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,1,0,14,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6138,Gauthier / de Lorimier,,,,
95,40,60,95,40,60,85,35,60,80,20,50,90,45,70,,,110,75,95,110,20,35,80,0,10,65,0,50,90,45,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,40,60,,,80,35,60,80,35,60,90,45,65,90,40,65,90,40,65,,,133.0,15,"75,30,65,75",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,1,0,14,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6139,Gauthier / Parthenais,,,,
90,20,55,90,20,55,90,35,70,100,45,85,100,60,85,,,110,70,85,95,0,20,80,0,4,80,45,40,85,45,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,40,70,,,90,40,70,90,40,70,80,20,50,90,35,70,90,60,75,,,134.0,15,"45,35,75,80",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,0,0,15,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6140,Marquette / Rachel,,,2019-06-04T12:10:52-04,0
100,50,70,100,50,70,80,35,50,100,50,70,90,55,70,,,110,75,85,100,10,25,70,5,15,80,20,50,90,55,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,70,20,50,70,20,50,70,20,50,70,20,50,75,20,50,,,135.0,19,"60,35,55,75",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,1,0,18,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6141,des Érables / Marie-Anne,,,,
100,45,75,100,45,75,90,40,65,100,45,85,100,60,75,,,100,75,85,100,40,75,85,10,25,70,0,65,85,55,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,40,65,,,90,45,65,90,45,65,90,30,60,100,45,80,100,55,85,,,136.0,31,"60,50,61,61",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,5,0,26,0,0,,"KEY,CREDITCARD",C8,Plateau Est,ok,,6142,Calixa-Lavallée / Rachel,,,,
75,20,50,75,20,50,75,20,55,80,35,65,90,40,70,,,100,70,85,100,30,40,100,0,3,85,45,65,90,55,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,90,20,75,90,20,75,90,20,60,85,10,60,85,20,60,,,137.0,28,"70,25,65,80",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,2,0,26,0,0,,"KEY,CREDITCARD",C8,Plateau Est,ok,,6143,Rachel / de Brébeuf,,,,
90,40,65,90,40,65,80,0,60,90,40,60,70,30,50,,,110,35,50,110,35,55,70,0,25,70,30,50,75,40,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,20,50,80,20,50,80,0,50,80,0,50,80,0,50,,,138.0,15,"50,35,50,55",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,1,0,14,0,0,,"KEY,CREDITCARD",C6,Plateau Est,ok,,6145,du Parc-La Fontaine / Duluth,,,,
90,35,65,90,35,65,80,20,40,85,20,65,85,40,65,,,110,70,90,110,0,30,80,0,3,70,10,55,100,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,20,50,80,20,50,80,20,50,80,20,50,80,35,50,,,139.0,23,"85,55,55,60",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,1,2,20,0,0,,"KEY,CREDITCARD",C6,Plateau Est,ok,,6146,du Parc-La Fontaine / Roy,,,,
100,45,60,100,45,60,100,40,60,100,40,60,85,20,50,,,90,35,55,110,45,65,110,45,85,110,55,75,80,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,10,45,,,100,40,70,90,20,70,110,35,80,110,45,85,80,20,45,,,140.0,39,"70,80,80,80",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,13,0,26,0,0,,"KEY,CREDITCARD",C6,Plateau Est,ok,,6147,Calixa-Lavallée / Sherbrooke,,,2019-06-04T11:45:48-04,17
110,40,80,110,40,80,110,40,85,110,50,80,110,60,85,,,100,35,75,110,40,85,100,40,75,100,35,60,90,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,45,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,35,60,,,100,45,80,100,45,80,100,40,60,100,40,60,100,45,60,,,141.0,31,"75,85,85,80",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,0,0,31,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6148,Émile-Duployé / Sherbrooke,,,2019-06-04T09:00:54-04,12
80,20,55,80,20,55,80,30,65,90,40,80,90,55,80,,,100,55,60,100,30,40,80,0,5,80,20,55,85,55,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,55,,,85,35,60,85,35,60,80,35,60,80,35,55,80,35,55,,,142.0,23,"75,35,75,60",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,2,0,21,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6149,Chapleau / du Mont-Royal,,,,
90,40,70,90,40,70,90,10,65,80,50,70,100,55,80,,,100,70,90,100,10,25,90,5,25,60,10,50,90,50,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,40,60,,,100,45,70,100,45,70,85,40,60,85,35,65,90,40,70,,,143.0,19,"70,45,50,75",false,false,,,true,false,true,true,1970-01-18T20:14:21-05,false,1,0,18,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6150,Messier / du Mont-Royal,,,,
100,40,65,100,40,65,90,35,60,85,40,60,70,55,60,,,100,65,85,100,35,55,80,0,5,85,20,55,90,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,45,65,,,90,40,60,90,40,60,90,35,65,85,45,70,90,45,65,,,144.0,23,"60,60,60,80",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,2,0,21,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6151,Parthenais / du Mont-Royal,,,,
80,40,65,80,40,65,80,36,60,90,45,70,90,55,70,,,110,75,90,100,15,45,90,0,5,75,10,50,80,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,40,60,,,85,40,60,85,40,60,80,35,60,85,40,65,90,50,70,,,145.0,23,"75,50,55,65",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,0,0,23,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6152,Chabot / du Mont-Royal,,,2019-06-04T12:05:52-04,0
85,35,65,85,35,65,85,25,60,75,40,65,80,45,70,,,100,70,85,100,10,30,80,10,15,80,10,50,90,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,40,60,,,80,45,70,80,45,70,90,40,60,75,45,60,90,45,70,,,146.0,19,"65,45,60,85",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,1,0,18,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6153,Cartier / Marie-Anne,,,2019-06-04T11:45:50-04,0
100,35,40,100,35,40,70,25,40,75,35,60,90,50,70,,,110,75,80,110,25,35,70,0,10,60,-10,50,85,45,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,35,60,,,80,35,60,80,35,60,90,35,65,80,40,65,90,40,65,,,147.0,19,"85,60,50,70",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,3,1,15,0,0,,"KEY,CREDITCARD",C7,Plateau Est,ok,,6154,Marquette / du Mont-Royal,,,,
100,30,45,100,30,45,80,20,40,80,40,65,90,55,75,,,110,75,90,110,35,55,80,5,20,70,-10,55,95,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,45,75,,,70,20,50,70,20,50,65,20,40,60,10,40,70,45,55,,,148.0,31,"70,45,50,65",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,13,0,18,0,0,,"KEY,CREDITCARD",C8,Plateau Est,ok,,6155,Garnier / du Mont-Royal,,,,
70,20,45,70,20,45,70,0,40,70,20,55,80,45,70,,,110,75,90,100,10,35,70,0,25,75,-10,55,85,55,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,20,50,80,20,50,80,20,50,80,20,50,80,20,50,,,149.0,19,"65,35,32,65",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,8,0,11,0,0,,"KEY,CREDITCARD",C8,Plateau Est,ok,,6156,Marie-Anne / de la Roche,,,,
80,20,50,80,20,50,70,20,50,80,50,70,90,55,75,,,110,75,90,90,35,45,80,5,20,80,10,40,95,45,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,10,55,,,70,20,50,70,20,50,70,20,50,70,20,60,80,20,50,,,150.0,23,"80,50,55,63",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,5,0,18,0,0,,"KEY,CREDITCARD",C8,Plateau Est,ok,,6157,de la Roche / du Mont-Royal,,,,
100,20,40,100,20,40,90,10,40,90,10,60,100,30,80,,,110,30,65,110,20,35,80,0,3,60,-10,40,80,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,20,50,80,20,50,80,20,50,80,20,50,80,20,50,,,151.0,19,"70,30,55,65",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,5,0,14,0,0,,"KEY,CREDITCARD",C8,Plateau Est,ok,,6158,Gilford / de Brébeuf,,,,
100,20,65,80,20,60,60,0,35,60,0,20,60,0,20,,,110,40,70,110,10,35,30,-10,10,65,10,50,80,35,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,35,55,70,20,50,30,0,30,60,0,30,70,35,55,,,152.0,11,"90,40,55,45",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,5,1,5,0,0,,"KEY,CREDITCARD",SO2,Griffintown,ok,,6159,Ann / Wellington,2019-06-04T11:01:10-04,4,,
90,35,55,90,35,55,70,20,55,85,40,65,90,45,65,,,100,65,95,70,20,55,70,0,10,70,0,40,90,45,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,40,60,,,90,40,60,90,40,60,80,20,50,80,35,60,85,35,60,,,153.0,23,"50,40,50,75",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,3,0,20,0,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6160,Garnier / St-Joseph,,,,
90,40,65,90,40,65,90,35,65,90,40,65,90,50,75,,,100,75,85,100,-10,25,60,0,20,60,-10,40,70,35,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,40,60,,,80,45,60,80,45,60,85,35,60,80,35,65,90,45,60,,,154.0,18,"65,31,45,55",false,false,100,,true,false,true,true,1970-01-18T20:14:12-05,false,0,0,18,1,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6161,Cartier / St-Joseph,,,2019-06-04T11:01:10-04,0
80,20,50,80,20,50,80,20,50,80,20,50,50,5,30,,,50,2,30,85,20,60,90,35,60,95,30,60,70,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,55,,,90,35,70,90,35,70,90,20,65,90,20,70,90,45,70,,,155.0,27,"55,55,55,55",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,11,0,16,0,0,,"KEY,CREDITCARD",N4,Ahuntsic Ouest,ok,,6162,Legendre / Henri-Julien,,,,
100,40,65,100,40,65,80,40,65,90,40,70,90,45,80,,,110,75,90,110,10,30,70,0,4,60,0,55,80,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,40,65,,,90,45,60,90,45,60,90,35,60,80,45,60,80,45,65,,,156.0,27,"75,45,50,55",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,0,1,26,0,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6163,Marquette / Laurier,,,2019-06-04T12:10:58-04,0
90,30,40,90,30,40,80,0,40,80,45,60,80,30,50,,,110,75,85,110,20,40,75,-10,40,60,0,30,65,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,40,,,70,20,50,70,20,50,80,20,50,70,20,40,70,20,50,,,157.0,15,"55,40,55,70",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,2,0,13,0,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6164,de Lanaudière / Laurier,,,,
80,35,65,80,35,65,70,15,55,75,30,60,100,55,80,,,110,75,90,110,20,40,70,0,5,60,0,20,80,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,40,65,,,70,35,40,70,35,40,80,35,50,80,40,65,80,40,60,,,158.0,31,"70,55,60,80",false,false,100,,true,false,true,true,1970-01-18T20:14:23-05,false,2,0,29,0,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6165,de Brébeuf / Laurier,,,,
85,40,60,85,40,60,80,45,50,90,35,70,100,55,85,,,110,75,95,100,35,45,70,0,20,85,0,55,85,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,45,60,,,90,40,60,90,40,60,85,35,65,85,45,65,90,50,65,,,159.0,31,"65,50,65,75",false,false,100,,true,false,true,true,1970-01-18T20:14:24-05,false,5,0,26,0,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6166,de Brébeuf / St-Grégoire,,,,
90,20,60,90,20,60,90,20,70,90,20,70,100,60,80,,,110,70,80,100,-10,40,80,2,6,60,10,35,70,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,20,50,80,20,50,80,20,50,80,20,50,80,20,50,,,160.0,15,"55,50,60,70",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,0,1,14,0,0,,"KEY,CREDITCARD",C9,Plateau Est,ok,,6167,Marquette / St-Grégoire,,,2019-06-04T11:01:15-04,0
80,0,30,80,0,30,65,0,30,50,-10,20,35,-10,5,,,55,0,20,70,0,50,95,40,70,85,25,40,55,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-10,10,,,70,0,40,70,0,40,70,0,40,70,0,40,70,0,40,,,161.0,23,"40,70,40,10",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,19,0,4,0,0,,"KEY,CREDITCARD",C10,Rosemont Ouest,ok,,6168,Marmier / St-Denis,,,,
100,55,80,100,40,80,110,35,80,90,40,70,100,60,80,,,110,70,85,110,35,65,100,10,35,90,25,60,95,45,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,45,65,,,90,40,65,90,40,65,90,40,65,80,40,70,90,45,70,,,162.0,27,"90,70,70,70",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,6,0,21,0,0,,"KEY,CREDITCARD",C8,Plateau Ouest,ok,,6169,Boyer / du Mont-Royal,,,,
85,45,60,85,45,60,85,35,60,80,30,60,90,35,70,,,110,75,85,100,25,35,60,0,10,75,10,55,80,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,40,,,80,20,50,80,20,50,80,20,50,80,20,50,80,20,50,,,163.0,23,"70,40,55,55",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,1,0,22,0,0,,"KEY,CREDITCARD",C9,Plateau Ouest,ok,,6170,de Mentana / Laurier,,,,
75,20,50,75,0,50,50,0,20,75,0,50,90,35,70,,,110,45,65,80,2,25,30,2,10,55,-10,40,85,25,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,45,,,60,20,40,60,20,40,60,0,30,60,20,35,60,10,35,,,164.0,23,"35,10,30,40",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,0,1,22,0,0,,"KEY,CREDITCARD",C4,Centre Sud,ok,,6171,Wolfe / Robin,,,2019-06-04T11:40:57-04,0
100,55,70,100,50,60,100,35,55,110,30,60,110,55,70,plateau_ouest,,110,75,90,110,65,85,110,55,85,100,55,75,110,55,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,90,plateau_ouest,,100,55,90,100,55,90,100,35,80,100,40,80,100,55,90,secteur_est,,165.0,23,"65,85,75,75",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,3,0,20,0,0,,"KEY,CREDITCARD",C6,Plateau Ouest,ok,,6173,Berri / Cherrier,,,2019-06-04T10:20:57-04,14
100,40,70,100,40,70,80,40,55,100,30,60,100,50,85,,,110,70,85,110,45,65,95,45,75,90,35,70,90,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,40,70,,,100,40,85,100,40,85,100,30,75,100,25,75,100,50,75,,,166.0,23,"70,50,70,65",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,15,0,8,0,0,,"KEY,CREDITCARD",C6,Plateau Ouest,ok,,6174,Roy / St-Denis,,,,
100,40,90,100,40,90,100,55,85,100,55,80,100,60,90,,,110,75,95,110,40,70,110,60,85,100,55,85,100,45,70,plateau_ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,80,,,100,50,90,100,50,90,100,45,80,100,45,85,100,45,85,secteur_est,,41.0,23,"65,85,90,90",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,20,0,3,0,0,,"KEY,CREDITCARD",C6,Plateau Ouest,déconnectée,,6175,St-Christophe / Cherrier,,,,
75,35,50,75,35,50,80,20,45,75,40,60,80,50,70,,,90,30,55,90,10,35,70,0,10,70,0,40,70,10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,50,75,,,85,10,50,80,30,60,80,20,50,80,20,50,70,20,50,,,168.0,19,"55,45,55,70",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,0,0,19,0,0,,"KEY,CREDITCARD",C8,Plateau Ouest,ok,,6176,de Mentana / Rachel,,,2019-06-04T12:01:03-04,0
80,40,60,80,40,60,85,40,70,75,30,55,80,30,55,,,110,65,85,110,30,45,80,20,45,90,30,60,85,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,70,20,50,70,20,50,70,20,50,70,20,50,70,20,55,,,169.0,15,"45,30,25,65",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,1,0,14,0,0,,"KEY,CREDITCARD",C6,Plateau Ouest,ok,,6177,St-Hubert / Duluth,,,2019-06-04T11:01:19-04,3
85,20,60,85,20,60,85,20,60,90,45,70,100,55,80,,,110,75,85,110,30,70,110,35,60,90,30,55,110,40,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,35,70,,,80,30,70,80,30,70,100,20,70,100,20,75,85,20,60,,,170.0,19,"76,50,50,86",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,7,0,12,0,0,,"KEY,CREDITCARD",C8,Plateau Ouest,ok,,6178,Rivard / Rachel,,,,
100,40,80,100,40,80,100,35,80,70,30,55,70,30,55,,,110,55,80,110,30,50,100,0,60,70,10,50,70,10,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,35,70,,,110,0,70,110,0,70,100,20,70,100,20,70,100,20,70,,,171.0,11,"65,65,65,80",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,4,0,7,0,0,,"KEY,CREDITCARD",C6,Plateau Ouest,ok,,6179,Duluth / St-Denis,,,,
