dayOfWeek1.period1Max,dayOfWeek1.period1Min,dayOfWeek1.period1Target,dayOfWeek1.period2Max,dayOfWeek1.period2Min,dayOfWeek1.period2Target,dayOfWeek1.period3Max,dayOfWeek1.period3Min,dayOfWeek1.period3Target,dayOfWeek1.period4Max,dayOfWeek1.period4Min,dayOfWeek1.period4Target,dayOfWeek1.period5max,dayOfWeek1.period5min,dayOfWeek1.period5target,dayOfWeek1.sector,dayOfWeek1.sector.id,dayOfWeek2.period1Max,dayOfWeek2.period1Min,dayOfWeek2.period1Target,dayOfWeek2.period2Max,dayOfWeek2.period2Min,dayOfWeek2.period2Target,dayOfWeek2.period3Max,dayOfWeek2.period3Min,dayOfWeek2.period3Target,dayOfWeek2.period4Max,dayOfWeek2.period4Min,dayOfWeek2.period4Target,dayOfWeek2.period5max,dayOfWeek2.period5min,dayOfWeek2.period5target,dayOfWeek2.sector,dayOfWeek2.sector.id,dayOfWeek3.period1Max,dayOfWeek3.period1Min,dayOfWeek3.period1Target,dayOfWeek3.period2Max,dayOfWeek3.period2Min,dayOfWeek3.period2Target,dayOfWeek3.period3Max,dayOfWeek3.period3Min,dayOfWeek3.period3Target,dayOfWeek3.period4Max,dayOfWeek3.period4Min,dayOfWeek3.period4Target,dayOfWeek3.period5max,dayOfWeek3.period5min,dayOfWeek3.period5target,dayOfWeek3.sector,dayOfWeek3.sector.id,dayOfWeek4.period1Max,dayOfWeek4.period1Min,dayOfWeek4.period1Target,dayOfWeek4.period2Max,dayOfWeek4.period2Min,dayOfWeek4.period2Target,dayOfWeek4.period3Max,dayOfWeek4.period3Min,dayOfWeek4.period3Target,dayOfWeek4.period4Max,dayOfWeek4.period4Min,dayOfWeek4.period4Target,dayOfWeek4.period5max,dayOfWeek4.period5min,dayOfWeek4.period5target,dayOfWeek4.sector,dayOfWeek4.sector.id,dayOfWeek5.period1Max,dayOfWeek5.period1Min,dayOfWeek5.period1Target,dayOfWeek5.period2Max,dayOfWeek5.period2Min,dayOfWeek5.period2Target,dayOfWeek5.period3Max,dayOfWeek5.period3Min,dayOfWeek5.period3Target,dayOfWeek5.period4Max,dayOfWeek5.period4Min,dayOfWeek5.period4Target,dayOfWeek5.period5max,dayOfWeek5.period5min,dayOfWeek5.period5target,dayOfWeek5.sector,dayOfWeek5.sector.id,dayOfWeek6.period1Max,dayOfWeek6.period1Min,dayOfWeek6.period1Target,dayOfWeek6.period2Max,dayOfWeek6.period2Min,dayOfWeek6.period2Target,dayOfWeek6.period3Max,dayOfWeek6.period3Min,dayOfWeek6.period3Target,dayOfWeek6.period4Max,dayOfWeek6.period4Min,dayOfWeek6.period4Target,dayOfWeek6.period5max,dayOfWeek6.period5min,dayOfWeek6.period5target,dayOfWeek6.sector,dayOfWeek6.sector.id,dayOfWeek7.period1Max,dayOfWeek7.period1Min,dayOfWeek7.period1Target,dayOfWeek7.period2Max,dayOfWeek7.period2Min,dayOfWeek7.period2Target,dayOfWeek7.period3Max,dayOfWeek7.period3Min,dayOfWeek7.period3Target,dayOfWeek7.period4Max,dayOfWeek7.period4Min,dayOfWeek7.period4Target,dayOfWeek7.period5max,dayOfWeek7.period5min,dayOfWeek7.period5target,dayOfWeek7.sector,dayOfWeek7.sector.id,id,info.capacity,info.cluster,info.eightd_has_available_keys,info.eightd_has_key_dispenser,info.index,info.installDate,info.installed,info.is_installed,info.is_renting,info.is_returning,info.last_reported,info.locked,info.num_bikes_available,info.num_bikes_disabled,info.num_docks_available,info.num_docks_disabled,info.priority,info.removalDate,info.rental_methods,info.secteur_lavage,info.secteur_redist,info.status,info.temporary,info.terminalName,label,threshold.maxMet,threshold.maxMetQty,threshold.minMet,threshold.minMetQty
55,-10,25,55,-10,25,65,-10,25,60,-10,50,70,20,50,,,60,10,40,70,10,55,55,-10,30,60,-10,30,65,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,-10,50,80,-10,50,80,-10,50,80,-10,50,80,-10,50,,,11.0,27,"60,20,25,20",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,11,0,16,0,0,,"KEY,CREDITCARD",C3,Centre Sud,ok,,6011,St-André / St-Antoine,,,,
30,-10,10,30,-10,10,30,-10,20,30,-10,20,25,-10,5,,,15,-10,5,55,-10,20,50,-10,10,50,-10,20,55,-10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,-10,20,,,30,-10,10,30,-10,10,35,-10,20,40,-10,15,30,-10,15,,,12.0,49,"20,20,15,30",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,19,1,29,0,0,,"KEY,CREDITCARD",C3,Centre Ville,ok,,6012,Métro St-Laurent (de Maisonneuve / St-Laurent),,,,
30,-10,10,30,-10,10,40,-10,15,40,-10,20,55,-10,30,,,25,-10,10,65,-10,20,45,-10,25,55,-10,30,55,-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-10,30,,,55,-10,25,60,-10,35,55,0,30,55,-10,30,55,-10,30,,,13.0,31,"20,20,30,35",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,6,2,23,0,0,,"KEY,CREDITCARD",C3,UQAM,ok,,6013,Sanguinet / de Maisonneuve,,,,
110,-10,10,110,-10,10,110,-10,20,110,-10,10,110,-10,5,,,110,-10,10,110,-10,10,110,-10,5,110,-10,25,110,-10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,-10,10,,,110,-10,10,110,-10,10,110,-10,10,110,-10,10,110,-10,10,,,14.0,43,"25,25,45,40",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,11,1,31,0,0,,"KEY,CREDITCARD",C3,Centre Ville,ok,,6014,St-Denis / René-Lévesque,,,,
30,-10,10,30,-10,10,35,-10,25,35,-10,10,55,-10,30,,,20,-10,5,30,-10,15,50,-10,25,55,-10,30,55,-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-10,30,,,40,-10,20,30,-10,10,60,-10,30,55,-10,35,55,-10,30,,,15.0,31,"15,35,35,35",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,23,1,7,0,0,,"KEY,CREDITCARD",C3,UQAM,ok,,6015,BAnQ (Berri / de Maisonneuve),2019-06-04T10:05:14-04,10,,
,,,,,,,,,,,,,,,,,110,-10,40,110,-10,40,60,-10,40,60,-10,40,70,-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18,"40,40,40,30",false,false,,,true,false,true,true,1970-01-18T20:14:21-05,false,17,0,1,1,0,,"KEY,CREDITCARD",SO1,Verdun Lasalle,ok,,6016,Jacques-Le Ber / de la Pointe Nord,2019-06-04T11:00:16-04,18,,
50,0,20,50,0,20,70,0,40,60,10,20,40,0,10,,,110,30,40,90,25,55,40,2,15,40,-10,20,85,25,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,30,,,80,0,40,80,0,40,60,20,20,60,0,30,50,0,20,,,17.0,31,"30,5,30,50",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,7,0,24,0,0,,"KEY,CREDITCARD",C4,Centre Sud,ok,,6017,Ahmerst / du Square Amherst,,,,
55,0,40,55,0,40,55,0,40,60,0,55,80,10,60,,,110,55,70,110,5,10,35,0,10,60,-10,40,95,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,-10,50,,,50,-10,30,50,-10,30,45,0,20,45,0,30,50,-10,35,,,18.0,23,"30,5,25,55",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,6,0,17,0,0,,"KEY,CREDITCARD",C4,Centre Sud,ok,,6018,St-André / Ontario,,,,
100,30,60,100,30,60,100,55,70,100,35,65,100,55,90,plateau_est,,100,10,60,110,25,65,110,45,75,110,45,90,110,55,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,40,80,,,100,40,60,100,40,60,100,35,60,100,35,65,100,40,90,,,19.0,23,"65,75,80,75",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,9,1,13,0,0,,"KEY,CREDITCARD",C6,Plateau Ouest,ok,,6019,Métro Sherbrooke (de Rigaud / Berri),,,2019-06-04T12:10:18-04,9
45,0,20,45,0,20,40,0,20,50,-10,20,40,0,20,,,50,-10,30,65,-10,30,60,0,30,60,-10,35,60,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-10,30,,,40,-10,20,40,-10,20,55,0,25,55,0,30,60,0,30,,,20.0,19,"10,15,15,15",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,9,0,10,0,0,,"KEY,CREDITCARD",C3,UQAM,ok,,6020,Sanguinet / Ontario,,,,
